sujet,date,statut
Comment les femmes Ndebele codifient-elles les messages sociaux dans leurs peintures murales ?,2025-10-15T15:02:51.153181,succès
Quelle est l'influence de l'art rupestre saharien sur les traditions murales d'Afrique subsaharienne ?,2025-10-17T10:43:41.686514,succès
Comment les peintures murales des palais akan au Ghana légitimaient-elles le pouvoir royal ?,2025-10-21T10:45:02.878734,succès
Pourquoi les motifs triangulaires dominent-ils l'art mural de nombreuses ethnies d'Afrique australe ?,2025-10-24T10:46:32.618826,succès
Quelle est la durabilité des peintures murales réalisées avec des liants végétaux en Afrique ?,2025-10-28T07:33:32.484602,succès
Comment l'art mural des bidonvilles de Nairobi exprime-t-il les réalités sociales contemporaines ?,2025-11-04T07:35:08.267173,succès
Quels animaux mythologiques apparaissent dans les fresques des temples nubiens antiques ?,2025-11-11T07:35:14.119889,succès
Pourquoi les peintures murales accompagnent-elles les cérémonies funéraires chez les Lobi du Burkina Faso ?,2025-11-18T07:13:15.704352,succès
Comment la technique de polissage des murs influence-t-elle le rendu final des peintures africaines ?,2025-11-25T07:14:12.247821,succès
Comment les artistes d'Alexandrie antique ont-ils fusionné traditions égyptiennes et hellénistiques dans l'art mural ?,2025-12-02T07:16:11.895447,succès
Pourquoi certaines peintures murales africaines sont-elles réalisées uniquement pendant la saison sèche ?,2025-12-09T07:16:13.712227,succès
Quels tabous entourent la représentation humaine dans l'art mural de certaines sociétés africaines ?,2025-12-16T07:17:55.814591,succès
Pourquoi les fresques des églises lalibela en Éthiopie représentent-elles des saints à la peau sombre ?,2025-12-23T07:17:40.180936,succès
Comment le collectif Brullpadda a-t-il popularisé l'art mural urbain en Afrique du Sud ?,2025-12-30T07:16:49.679975,succès
Quelle est la fonction protectrice des peintures murales appliquées sur les greniers à céréales ?,2026-01-06T07:18:59.711438,succès
Comment les motifs muraux des Baoulé de Côte d'Ivoire reflètent-ils leur organisation sociale ?,2026-01-13T07:18:23.305360,succès
Pourquoi l'art mural des townships est-il devenu un outil de résistance politique en Afrique australe ?,2026-01-20T07:21:51.909807,succès
Quelle est la technique de création des fresques polychromes dans les mosquées soudanaises ?,2026-01-27T07:33:40.868114,succès
Comment les peintures murales des sanctuaires osun au Nigeria honorent-elles les divinités yoruba ?,2026-02-01T07:41:50.639031,succès
